9.097295643048989;0.0	10.44548704935235;0.0	11.07572160304791;0.0	11.517065677791473;0.0	10.865099638918217;0.0	
8.671225903543153;0.0	10.388226057341695;0.0	10.4177466113341;0.0	11.598108021755575;0.0	10.145143460706748;0.0	
7.606953899011685;0.0	10.697814493065747;0.0	9.286186816891508;0.0	11.858740001189938;0.0	10.6990462649788;0.0	
7.765148306140924;0.0	10.379910243820175;0.0	10.040651099366343;0.0	10.811075899209147;0.0	10.097949110554374;0.0	
8.843106138524178;0.0	10.307963751570536;0.0	11.505589203247574;0.0	10.474650975268524;0.0	9.663037382389945;0.0	
7.6980941665838625;0.0	10.050300615122236;0.0	10.25472815344447;0.0	11.510282724620025;0.0	10.08656236695885;0.0	
9.112536926501786;0.0	9.948442257455744;0.0	11.45567249468694;0.0	11.174490329122731;0.0	9.78608668321733;0.0	
7.597302812377054;0.0	9.862148514416775;0.0	11.294684921595659;0.0	10.845080876878214;0.0	9.510668809057284;0.0	
8.831661767653104;0.0	10.430473923389536;0.0	11.257426766926999;0.0	11.340415312761762;0.0	10.08642419468493;0.0	
8.007948873987123;0.0	10.49972489942588;0.0	11.354175642339865;0.0	11.193427388720023;0.0	9.908106151958926;0.0	
9.171461623385447;0.0	10.30573128611443;0.0	10.815742876674214;0.0	10.15759748709361;0.0	9.674977305758752;0.0	
7.511132600905695;0.0	11.048712601690728;0.0	9.874399953245948;0.0	9.61217727238416;0.0	8.934464096093395;0.0	
9.284079056967608;0.0	9.604580689521628;0.0	9.895933881150377;0.0	9.706310979866766;0.0	9.287817129076863;0.0	
8.794338912922104;0.0	10.382717397386727;0.0	9.63567575190657;0.0	9.73367383454582;0.0	9.540603840548828;0.0	
8.456089310202945;0.0	10.000828764840461;0.0	10.23766883631748;0.0	9.659367152477255;0.0	10.082082170776031;0.0	
9.31509424226731;0.0	10.023860914350804;0.0	10.146399143405594;0.0	9.79140562433392;0.0	9.717747199731779;0.0	
8.764613216868327;0.0	10.426596317402238;0.0	9.883915487090333;0.0	9.529101029355164;0.0	9.843772961478217;0.0	
9.204525982381345;0.0	9.892319294004842;0.0	9.132602207438913;0.0	9.412120013986616;0.0	8.873406707833926;0.0	
8.723714058336178;0.0	9.835871066787195;0.0	11.775417760423458;0.0	11.103861588496123;0.0	9.640902856664182;0.0	
7.995702273163304;0.0	11.345460249707296;0.0	11.213219249479955;0.0	11.91486842349608;0.0	10.455365259393927;0.0	
9.187423995127283;0.0	11.078460249129446;0.0	11.61243271603269;0.0	11.429226382472052;0.0	9.63989869470617;0.0	
8.369880555590603;0.0	10.26605689161987;0.0	11.341859463075936;0.0	11.379775031856363;0.0	10.413638548793024;0.0	
9.048809218619207;0.0	9.571836546932877;0.0	10.498681435854245;0.0	10.285360591848068;0.0	9.112074886680288;0.0	
8.438039269086987;0.0	10.029906032972733;0.0	11.027541565244466;0.0	11.503039844315772;0.0	10.30956342873603;0.0	
8.067989270828244;0.0	10.06497893093838;0.0	11.5334314978374;0.0	10.821791042455203;0.0	9.37780032026291;0.0	
